Fire_Year,Plot_#,Yr_Plot,Date,Subsample_area_S/M/L,Belt_N/S/E/W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage/browse_Y/N,tally,comments,tally_filled,TPH_scaling_factor
2012,1,2012_1,8/23/2016,M,E,16.2,PICO,20,,3,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,E,18.2,PICO,46,,3,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,E,18.9,PICO,29,,2,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,E,18.5,PICO,23,,2,post,y,,,1,83.3
2012,1,2012_1,8/23/2016,M,E,21.7,PICO,7,,2,post ,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,W,14.9,PICO,23,,3,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,W,11.3,PICO,18,,2,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,N,15.4,PICO,21,,3,post ,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,N,16,PICO,38,,2,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,13.5,PICO,25,,2,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,13.2,PICO,18,,1,post ,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,11.4,PICO,8,,2,post,y,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,8.4,PICO,27,,3,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,8.2,PICO,13,,1,post,n,,,1,83.3
2012,1,2012_1,8/23/2016,M,S,2.5,PICO,25,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,14.8,PIEN,6,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,14.2,LAOC,6,,1,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,16.9,LAOC,3,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,13.7,LAOC,5,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,11.5,LAOC,5,,1,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,10.2,LAOC,13,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,10.2,LAOC,9,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,10.2,LAOC,5,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,8.5,LAOC,13,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,7.4,PIEN,10,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,7.4,PIEN,7,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,5.4,PIEN,8,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,4.3,LAOC,5,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,3.9,LAOC,14,,1,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,3.5,LAOC,4,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,3.4,LAOC,8,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,3.4,LAOC,7,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,3.2,LAOC,4,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,1.8,LAOC,4,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,1.8,LAOC,7,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,0.6,LAOC,3,,1,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,S,0.2,LAOC,13,,1,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,E,15.1,LAOC,4,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,E,15.3,LAOC,6,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,E,23.8,PICO,9,,3,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,E,24.5,PICO,5,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,14.8,PIEN,8,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,14.1,LAOC,7,,3,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,12.3,LAOC,8,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,11.8,LAOC,7,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,11.3,LAOC,7,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,11.3,LAOC,5,,2,post,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,9.3,LAOC,4,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,9.2,LAOC,4,,2,post ,n,,,1,83.3
2012,32,2012_32,8/31/2016,M,W,7.4,PICO,30,,4,post,n,,,1,83.3
