,Yr_Plot,Fire_Year,Plot_.,Date,Subsample_area_S.M.L,Belt_N.S.E.W,Belt_dist_m,Species,Height_cm,DBH_cm,Bud_scar_count,Pre_or_Post_Fire,Top_damage.browse_Y.N,tally,comments,tally_filled,ntimes,TPH
1,2012_1,2012,1,8/23/2016,M,E,16.2,PICO,20,NA,3,post,n,NA,,1,1,83.33333333
2,2012_1,2012,1,8/23/2016,M,E,18.2,PICO,46,NA,3,post,n,NA,,1,1,83.33333333
3,2012_1,2012,1,8/23/2016,M,E,18.9,PICO,29,NA,2,post,n,NA,,1,1,83.33333333
4,2012_1,2012,1,8/23/2016,M,E,18.5,PICO,23,NA,2,post,y,NA,,1,1,83.33333333
5,2012_1,2012,1,8/23/2016,M,E,21.7,PICO,7,NA,2,post ,n,NA,,1,1,83.33333333
6,2012_1,2012,1,8/23/2016,M,W,14.9,PICO,23,NA,3,post,n,NA,,1,1,83.33333333
7,2012_1,2012,1,8/23/2016,M,W,11.3,PICO,18,NA,2,post,n,NA,,1,1,83.33333333
8,2012_1,2012,1,8/23/2016,M,N,15.4,PICO,21,NA,3,post ,n,NA,,1,1,83.33333333
9,2012_1,2012,1,8/23/2016,M,N,16,PICO,38,NA,2,post,n,NA,,1,1,83.33333333
10,2012_1,2012,1,8/23/2016,M,S,13.5,PICO,25,NA,2,post,n,NA,,1,1,83.33333333
11,2012_1,2012,1,8/23/2016,M,S,13.2,PICO,18,NA,1,post ,n,NA,,1,1,83.33333333
12,2012_1,2012,1,8/23/2016,M,S,11.4,PICO,8,NA,2,post,y,NA,,1,1,83.33333333
13,2012_1,2012,1,8/23/2016,M,S,8.4,PICO,27,NA,3,post,n,NA,,1,1,83.33333333
14,2012_1,2012,1,8/23/2016,M,S,8.2,PICO,13,NA,1,post,n,NA,,1,1,83.33333333
15,2012_1,2012,1,8/23/2016,M,S,2.5,PICO,25,NA,2,post,n,NA,,1,1,83.33333333
16,2012_100,2012,100,8/25/2016,M,W,4.6,PICO,31,NA,2,post,n,NA,,1,1,83.33333333
17,2012_100,2012,100,8/25/2016,M,W,0.5,PICO,8,NA,1,post ,n,NA,,1,1,83.33333333
18,2012_100,2012,100,8/25/2016,M,W,0.5,PICO,6,NA,1,post,n,NA,,1,1,83.33333333
19,2012_100,2012,100,8/25/2016,M,S,10.1,PICO,20,NA,2,post,n,NA,,1,1,83.33333333
20,2012_100,2012,100,8/25/2016,M,S,1.9,PICO,14,NA,1,post,n,NA,,1,1,83.33333333
21,2012_100,2012,100,8/25/2016,M,E,19.3,ABLA,194,1.9,NA,pre,n,NA,,1,1,83.33333333
22,2012_100,2012,100,8/25/2016,M,E,19.3,ABLA,216,3.2,NA,pre,y,NA,,1,1,83.33333333
23,2012_100,2012,100,8/25/2016,M,E,20.2,ABLA,60,NA,14,pre,n,NA,,1,1,83.33333333
24,2012_100,2012,100,8/25/2016,M,E,20.7,PIEN,210,1.9,NA,pre,n,NA,,1,1,83.33333333
25,2012_100,2012,100,8/25/2016,M,E,20.9,ABLA,38,NA,15,pre,n,NA,,1,1,83.33333333
